"symbol","Margin Mode","Position Side","Entry Price","Avg. Close Pirce","Max Open Interest","Closed Vol.","Closing PNL","Opened","Closed","Status"
"FHEUSDT","Cross","Long","0.06154600","0.06149800","370.00000000","673.00000000","-0.04737057","2025-08-24 23:15:50.877",,"Partially Closed"
"WLFIUSDT","Cross","Long","0.22970000","0.22050000","436.00000000","436.00000000","-4.01120000","2025-08-24 22:57:16.421","2025-08-24 23:13:39.391","Closed"
"SKYAIUSDT","Cross","Long","0.04293500","0.04097000","2330.00000000","2330.00000000","-4.57800000","2025-08-24 20:25:20.020","2025-08-24 22:04:13.149","Closed"
"BIDUSDT","Cross","Short","0.11239400","0.11692000","885.00000000","885.00000000","-4.00551000","2025-08-24 20:24:49.325","2025-08-24 20:33:12.508","Closed"
"XPLUSDT","Cross","Short","0.55010000","0.57310000","182.00000000","182.00000000","-4.18600000","2025-08-24 20:21:24.853","2025-08-24 23:23:19.056","Closed"
"BIDUSDT","Cross","Short","0.11428000","0.11303900","879.00000000","879.00000000","1.09050000","2025-08-24 20:04:41.925","2025-08-24 20:24:32.616","Closed"
"WLFIUSDT","Cross","Short","0.21280000","0.22291300","469.00000000","469.00000000","-4.74290000","2025-08-24 19:45:04.719","2025-08-24 22:56:45.654","Closed"
"MYROUSDT","Cross","Short","0.02501000","0.02501000","3987.00000000","3987.00000000","0E-8","2025-08-24 19:39:33.145","2025-08-24 19:53:55.137","Closed"
"WLFIUSDT","Cross","Short","0.21400000","0.21270000","468.00000000","468.00000000","0.60840000","2025-08-24 19:39:26.756","2025-08-24 19:44:48.408","Closed"
"BANUSDT","Cross","Short","0.08617200","0.08963000","1163.00000000","1163.00000000","-4.02138999","2025-08-24 19:38:50.124","2025-08-24 23:41:00.664","Closed"
"BIDUSDT","Cross","Short","0.11437100","0.11382000","878.00000000","878.00000000","0.48417999","2025-08-24 19:38:43.830","2025-08-24 20:04:14.840","Closed"
"XNYUSDT","Cross","Short","0.00675800","0.00675900","14754.00000000","14754.00000000","-0.01479801","2025-08-24 19:38:08.059","2025-08-24 19:52:51.557","Closed"
"UMAUSDT","Cross","Short","1.52200000","1.52200000","66.00000000","66.00000000","0E-8","2025-08-24 19:37:00.624","2025-08-24 20:10:16.130","Closed"
"BIDUSDT","Cross","Short","0.11365400","0.11350000","877.00000000","877.00000000","0.13542999","2025-08-24 19:36:19.952","2025-08-24 19:38:16.875","Closed"
"HAEDALUSDT","Cross","Long","0.14022100","0.13457100","713.00000000","713.00000000","-4.02839497","2025-08-24 19:35:15.323","2025-08-24 22:29:56.831","Closed"
"WLFIUSDT","Cross","Short","0.21760000","0.21040000","455.00000000","455.00000000","3.27600000","2025-08-24 19:35:00.104","2025-08-24 19:38:47.179","Closed"
"MYROUSDT","Cross","Long","0.02561100","0.02459000","3906.00000000","3906.00000000","-3.98812999","2025-08-24 19:33:30.307","2025-08-24 19:37:29.990","Closed"
"XNYUSDT","Cross","Long","0.00688300","0.00660000","14548.00000000","14548.00000000","-4.11486000","2025-08-24 19:05:48.262","2025-08-24 19:37:36.589","Closed"
"WLFIUSDT","Cross","Long","0.22720000","0.21770000","440.00000000","440.00000000","-4.18000000","2025-08-24 18:47:00.648","2025-08-24 19:34:30.044","Closed"
"WLFIUSDT","Cross","Long","0.22790000","0.22790000","441.00000000","441.00000000","0E-8","2025-08-24 18:40:44.917","2025-08-24 18:46:37.824","Closed"
"SAPIENUSDT","Cross","Short","0.25309900","0.23097200","395.00000000","395.00000000","8.74018996","2025-08-24 18:32:21.937","2025-08-24 21:37:40.043","Closed"
"BIDUSDT","Cross","Long","0.11807000","0.11326200","845.00000000","845.00000000","-4.06277000","2025-08-24 18:31:26.450","2025-08-24 19:35:56.878","Closed"
"BIDUSDT","Cross","Short","0.11421000","0.11889000","877.00000000","877.00000000","-4.10436999","2025-08-24 18:25:42.842","2025-08-24 18:31:13.628","Closed"
"BIDUSDT","Cross","Long","0.11682400","0.11245400","857.00000000","857.00000000","-3.74515999","2025-08-24 18:22:02.122","2025-08-24 18:25:26.055","Closed"
